City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,beloyarskiy,63.7119,66.6722,16.72,78,81,1.72,RU,1722361136
191,haiku-pauwela,20.9219,-156.3051,22.34,93,75,5.14,US,1722361137
192,porto murtinho,-21.6989,-57.8825,28.55,42,77,0.97,BR,1722361138
193,yumbe,3.4651,31.2469,19.37,93,100,1.55,UG,1722361140
194,mizan teferi,6.9833,35.5833,16.26,95,81,1.76,ET,1722361141
195,ixtapa,20.7,-105.2,31.79,66,75,2.24,MX,1722361142
196,luwingu,-10.2621,29.9271,17.82,18,0,1.42,ZM,1722361143
197,sparta,43.9441,-90.8129,30.29,65,20,2.48,US,1722361144
198,mulanje,-16.0316,35.5,20.73,32,4,2.23,MW,1722361145
199,egilsstadir,65.2653,-14.3948,11.95,87,75,6.17,IS,1722361146
200,taitung city,22.7583,121.1444,26.92,85,49,1.87,TW,1722361147
201,selfoss,63.9331,-20.9971,11.16,77,99,4.29,IS,1722361148
202,muisne,0.6,-80.0333,24.49,85,100,7.63,EC,1722361151
203,vredendal,-31.6683,18.5012,11.98,68,8,4.07,ZA,1722361152
204,iwaki,37.05,140.8833,27.09,81,75,2.44,JP,1722361153
205,machico,32.7,-16.7667,26.67,77,40,5.14,PT,1722361154
206,greymouth,-42.4667,171.2,5.89,69,100,6.42,NZ,1722361155
207,huarmey,-10.0681,-78.1522,17.47,83,10,5.38,PE,1722361156
208,sabha,27.0377,14.4283,32.27,15,0,4.74,LY,1722361157
209,zhob,31.3411,69.4481,30.03,54,69,4.04,PK,1722361159
210,cockburn town,21.4612,-71.1419,28.45,81,86,8.5,TC,1722361046
211,enewetak,11.3474,162.3373,28.29,71,100,1.6,MH,1722361161
212,itoman,26.1247,127.6694,29.21,91,40,3.09,JP,1722361162
213,mount pearl,47.5166,-52.7813,28.51,67,75,10.29,CA,1722361163
214,kayangel,8.0823,134.7173,28.37,75,52,2.12,PW,1722361164
215,zaozersk,69.4005,32.4476,10.84,76,100,6.28,RU,1722361165
216,rhenen,51.9615,5.5706,28.98,77,57,3.5,NL,1722361166
217,kapa'a,22.0752,-159.319,24.5,83,100,6.69,US,1722361169
218,longyearbyen,78.2186,15.6401,9.91,81,75,2.06,SJ,1722361170
219,fort stockton,30.894,-102.8793,36.76,33,0,3.06,US,1722361171
220,el nido,11.1858,119.3956,26.75,97,53,0.32,PH,1722361172
221,tanjung pandan,-2.75,107.65,24.67,91,89,2.52,ID,1722361173
222,acarau,-2.8856,-40.12,30.12,58,16,8.57,BR,1722361174
223,opuwo,-18.0607,13.84,16.82,21,29,3.91,NA,1722361175
224,constantia,44.1833,28.65,27.38,48,2,0.59,RO,1722361176
225,tobruk,32.0836,23.9764,27.61,72,0,4.49,LY,1722361178
226,orkney,-26.9802,26.6727,10.4,21,96,2.49,ZA,1722361179
227,coquimbo,-29.9533,-71.3436,13.85,86,75,2.57,CL,1722361180
228,gadzhiyevo,69.2551,33.3362,10.44,84,100,7.42,RU,1722361181
229,mariehamn,60.0973,19.9348,19.92,56,0,1.54,AX,1722361182
230,lucapa,-8.4192,20.7447,24.38,14,30,1.4,AO,1722361184
231,naze,28.3667,129.4833,27.51,85,34,3.21,JP,1722361185
232,nemuro,43.3236,145.575,14.63,95,61,5.95,JP,1722361186
233,thunder bay,48.4001,-89.3168,27.95,44,75,2.57,CA,1722361098
234,kingston,17.997,-76.7936,33.53,55,20,8.75,JM,1722360854
235,zapolyarnyy,69.4154,30.8136,12.6,73,97,5.8,RU,1722361189
236,praia da vitoria,38.7333,-27.0667,26.53,69,75,4.4,PT,1722361190
237,inari,68.906,27.0288,17.11,65,100,5.23,FI,1722361191
238,hasaki,35.7333,140.8333,26.27,89,68,2.03,JP,1722361192
239,san patricio,28.017,-97.5169,32.93,53,9,7.82,US,1722361194
240,udachny,66.4167,112.4,7.21,70,55,2.18,RU,1722361195
241,nantucket,41.2835,-70.0995,27.27,90,68,7.92,US,1722361196
242,abasha,42.2096,42.2211,25.12,84,20,2.16,GE,1722361197
243,isangel,-19.55,169.2667,21.9,80,67,2.13,VU,1722361198
244,kenora,49.8167,-94.4337,26.54,61,20,3.6,CA,1722361199
245,changji,44.0167,87.3167,32.44,33,20,3.0,CN,1722361200
246,forio,40.7342,13.8646,34.16,81,0,4.14,IT,1722361202
247,kingisepp,59.3733,28.6134,15.86,89,100,1.53,RU,1722361203
248,rongelap,11.1635,166.8941,28.09,76,71,5.9,MH,1722361204
249,sao joao da barra,-21.6403,-41.0511,26.05,63,55,10.5,BR,1722361206
250,al wajh,26.2455,36.4525,31.97,66,0,0.0,SA,1722361207
251,newman,37.3138,-121.0208,27.91,25,0,1.08,US,1722361190
252,puerto lempira,15.2667,-83.7667,32.08,66,20,4.63,HN,1722361209
253,preobrazheniye,42.9019,133.9064,17.61,93,96,0.41,RU,1722361210
254,sai kung,22.3822,114.2728,27.88,91,99,2.13,CN,1722361211
255,villamontes,-21.25,-63.5,18.69,45,100,0.0,BO,1722361212
256,mahina,-17.5065,-149.489,21.87,73,75,8.75,PF,1722361213
257,alghero,40.5589,8.3181,32.05,45,0,5.14,IT,1722361214
258,sumenep,-7.0167,113.8667,25.75,82,10,4.91,ID,1722361216
259,nema,57.5067,50.5011,15.16,95,27,1.69,RU,1722361217
260,palora,-1.7,-77.9333,25.06,60,94,1.26,EC,1722361218
261,lashio,22.9333,97.75,20.47,100,100,0.62,MM,1722361220
262,ceeldheer,3.8488,47.1806,24.46,81,94,8.05,SO,1722361221
263,gmunden,47.9189,13.7975,27.93,78,7,1.24,AT,1722361223
264,tiksi,71.6872,128.8694,2.21,94,100,3.33,RU,1722361224
265,kangding,30.0513,101.9603,13.45,84,4,1.94,CN,1722361225
266,christchurch,-43.5333,172.6333,4.41,86,75,3.6,NZ,1722360829
267,porbandar,21.6422,69.6093,27.93,86,62,6.81,IN,1722361227
268,broome,42.2506,-75.833,29.7,66,40,4.92,US,1722361228
269,nagqu,31.5,92.0,3.39,63,35,1.55,CN,1722361229
270,puerto deseado,-47.7503,-65.8938,6.14,80,100,5.57,AR,1722361230
271,port augusta,-32.5,137.7667,6.26,73,17,1.33,AU,1722361231
272,kavaratti,10.5669,72.642,27.47,86,100,7.38,IN,1722361233
273,marathon,44.9,-89.7668,28.58,64,0,3.6,US,1722361234
274,wajir,1.7471,40.0573,29.81,33,97,8.61,KE,1722361235
275,punta arenas,-53.15,-70.9167,3.06,75,0,4.12,CL,1722361077
276,zhashkiv,49.2454,30.1102,19.28,62,51,5.67,UA,1722361237
277,tremonton,41.7119,-112.1655,29.33,26,0,6.17,US,1722361238
278,saint-francois,46.4154,3.9054,33.69,52,0,2.06,FR,1722361239
279,saldanha,-33.0117,17.9442,10.03,67,0,10.6,ZA,1722361240
280,longgang,37.6508,120.3286,26.56,84,0,6.97,CN,1722361242
281,laguna,38.421,-121.4238,27.27,62,0,3.09,US,1722361243
282,timbuktu,16.7735,-3.0074,36.85,31,33,2.9,ML,1722361244
283,arraial do cabo,-22.9661,-42.0278,20.92,83,100,5.14,BR,1722361245
284,yekaterinoslavka,50.3734,129.1139,19.17,84,81,3.52,RU,1722361246
285,hovd,48.0056,91.6419,21.19,53,96,0.42,MN,1722361247
286,yuzhno-kurilsk,44.0306,145.8556,14.23,96,91,7.51,RU,1722361248
287,dosso,13.049,3.1937,33.6,43,68,4.76,NE,1722361104
288,vilyuchinsk,52.9306,158.4028,11.15,98,100,0.75,RU,1722361250
289,iskateley,67.6803,53.1512,14.78,90,99,3.91,RU,1722361252
290,revda,56.801,59.9303,12.97,96,94,1.57,RU,1722361253
291,sitka,57.0531,-135.33,13.94,88,100,4.63,US,1722361254
292,kill devil hills,36.0307,-75.676,29.01,73,40,4.12,US,1722361255
293,chernyshevsk,52.5243,117.0174,17.09,96,91,2.16,RU,1722361256
294,madang,-5.2246,145.7966,25.48,91,54,1.64,PG,1722361259
295,pernio,60.2,23.1333,20.83,67,13,4.82,FI,1722361260
296,bluewater,34.1745,-114.2713,39.77,22,0,4.63,US,1722361261
297,mount gambier,-37.8333,140.7667,3.56,88,59,2.47,AU,1722361262
298,alice springs,-23.7,133.8833,0.75,60,0,2.57,AU,1722361263
299,totness,5.8833,-56.3167,31.53,53,35,3.87,SR,1722361265
300,namibe,-15.1961,12.1522,17.3,88,32,5.07,AO,1722361266
301,muroto-misakicho,33.2833,134.15,28.23,76,0,3.07,JP,1722361267
302,vadso,70.0744,29.7487,15.09,55,0,5.66,NO,1722361268
303,hawkinsville,32.2838,-83.4721,31.36,42,75,3.1,US,1722361269
304,al mindak,20.1588,41.2834,25.78,51,55,0.86,SA,1722361270
305,barra,-11.0894,-43.1417,31.89,31,0,2.91,BR,1722361271
306,ta`u,-14.2336,-169.5144,25.31,59,6,11.79,AS,1722361272
307,as sulayyil,20.4607,45.5779,39.14,11,47,4.21,SA,1722361274
308,fukuecho,32.6881,128.8419,28.15,83,1,4.86,JP,1722361275
309,nouadhibou,20.931,-17.0347,23.99,73,24,9.26,MR,1722361276
310,ancud,-41.8697,-73.8203,9.41,69,100,4.94,CL,1722361277
311,villa gesell,-37.2639,-56.973,11.18,52,100,8.23,AR,1722361278
312,ar rutbah,33.0381,40.2848,33.57,18,0,3.98,IQ,1722361279
313,lively,46.4334,-81.1498,24.51,97,100,0.17,CA,1722361280
314,pamandzi,-12.7967,45.2794,25.88,65,0,6.69,YT,1722361281
315,sakakah,29.9697,40.2064,35.76,15,32,4.16,SA,1722361282
316,hakui,36.8833,136.7833,26.56,97,86,2.76,JP,1722361284
317,strezhevoy,60.7333,77.5889,14.77,90,89,2.57,RU,1722361285
